idx,return,steps,failure,wall_dt
682,1.0,16,0,0.8600902440000198
683,1.0,14,0,0.8612000150000085
684,1.0,14,0,0.8623072290000096
685,1.0,16,0,0.8634849400000064
686,1.0,16,0,0.8646784860000025
687,1.0,14,0,0.8657873080000229
688,1.0,16,0,0.8670391730000233
689,1.0,15,0,0.8682562480000229
690,1.0,14,0,0.8694395550000138
691,0.0,11,1,0.8705600910000157
692,1.0,16,0,0.8717761820000192
693,0.0,7,1,0.8729460650000078
694,0.0,9,1,0.8741403530000014
695,1.0,14,0,0.8752807930000017
696,1.0,14,0,0.8763974619999999
697,1.0,14,0,0.8774912660000211
698,1.0,14,0,0.8786454170000013
699,1.0,14,0,0.8798430470000085
700,1.0,14,0,0.8810185430000104
701,1.0,16,0,0.8822243220000132
702,1.0,14,0,0.8833707870000183
703,1.0,14,0,0.8848774310000067
704,1.0,14,0,0.8884130430000141
705,1.0,14,0,0.8901798840000197
706,1.0,14,0,0.8913799310000172
707,1.0,14,0,0.8925672750000047
708,1.0,14,0,0.893785256000001
709,1.0,15,0,0.8950071090000051
710,1.0,14,0,0.8961502120000091
711,1.0,14,0,0.897281520000007
712,1.0,14,0,0.8984799290000183
713,1.0,16,0,0.8996854740000231
714,1.0,14,0,0.900868929000012
715,1.0,18,1,0.902097896000015
716,1.0,14,0,0.9031988660000252
717,1.0,14,0,0.9043036490000134
718,1.0,14,0,0.905388008000017
719,1.0,17,1,0.906598358000025
720,1.0,16,0,0.9078140130000065
721,1.0,14,0,0.9089282580000031
722,1.0,14,0,0.9100990790000196
723,1.0,14,0,0.911192251000017
724,0.0,12,1,0.9123606720000055
725,0.0,8,1,0.9134486180000181
726,1.0,14,0,0.914561703000004
727,1.0,14,0,0.9156680460000075
728,0.0,14,1,0.9168980809999994
729,1.0,14,0,0.9180769680000083
730,1.0,14,0,0.9191848410000034
731,1.0,14,0,0.9203039680000131
732,1.0,14,0,0.9213940799999989
733,1.0,14,0,0.922476936999999
734,1.0,14,0,0.9236392110000224
735,1.0,14,0,0.9248186990000136
736,1.0,14,0,0.9259350610000183
737,0.0,9,1,0.9270419570000001
738,0.0,12,1,0.9281835020000244
739,1.0,14,0,0.9292851490000089
740,1.0,14,0,0.9305131430000131
741,1.0,14,0,0.9316090650000035
742,1.0,14,0,0.9327001900000198
743,1.0,16,0,0.9339522980000083
744,1.0,15,0,0.935168439000023
745,1.0,14,0,0.9362656700000116
746,1.0,14,0,0.9373676050000199
747,1.0,14,0,0.9384570320000023
748,1.0,15,0,0.939631965000018
749,0.0,12,1,0.9408206270000221
750,1.0,14,0,0.941920830000015
751,1.0,14,0,0.9430855640000004
752,1.0,14,0,0.9441881609999996
753,1.0,14,0,0.9453434680000043
754,1.0,15,0,0.9465114460000166
755,1.0,14,0,0.9476002590000121
756,1.0,14,0,0.9486960100000204
757,0.0,16,1,0.9499783450000052
758,1.0,16,0,0.9511751530000083
759,1.0,14,0,0.9522676650000221
760,1.0,16,0,0.9534520800000053
761,0.0,11,1,0.9545769160000077
762,0.0,16,1,0.9558285669999975
763,1.0,14,0,0.9570797620000064
764,1.0,16,0,0.9582899730000065
765,1.0,14,0,0.9593988670000044
766,1.0,14,0,0.9605314949999979
767,1.0,14,0,0.9616209470000001
768,1.0,14,0,0.9627122040000131
769,1.0,14,0,0.9638154280000037
770,0.0,9,1,0.9649495220000119
771,1.0,14,0,0.9660779480000201
772,1.0,14,0,0.9672008840000217
773,1.0,16,0,0.9683837050000079
774,1.0,18,1,0.9696069190000003
775,1.0,16,0,0.9708086730000218
776,1.0,15,0,0.9721672440000191
777,1.0,14,0,0.973391539000005
778,1.0,14,0,0.9744948450000095
779,1.0,14,0,0.9756491010000161
780,1.0,14,0,0.9767683520000219
781,0.0,10,1,0.9779951780000147
782,0.0,12,1,0.9791955710000195
783,1.0,16,0,0.9804371630000048
784,0.0,8,1,0.9816113040000118
785,1.0,14,0,0.9827809230000071
786,0.0,7,1,0.9839038060000007
787,1.0,14,0,0.9851051570000209
788,1.0,15,0,0.9864039730000229
789,1.0,14,0,0.9875539460000198
790,1.0,14,0,0.988777558999999
791,1.0,14,0,0.9898713420000149
792,1.0,14,0,0.9909883650000211
793,1.0,14,0,0.9921186520000163
794,0.0,12,1,0.9932706120000034
795,1.0,14,0,0.9943696320000015
796,0.0,7,1,0.9957030090000103
797,1.0,16,0,0.9969507860000135
798,1.0,14,0,0.9980549980000148
799,1.0,15,0,0.9992339870000251
800,1.0,14,0,1.0003677310000114
801,1.0,14,0,1.0014589800000238
802,1.0,14,0,1.002617420000007
803,1.0,14,0,1.003711597000006
804,1.0,14,0,1.0048376870000197
805,0.0,7,1,1.0059074469999985
806,1.0,14,0,1.00700932700002
807,1.0,14,0,1.0080918740000016
808,1.0,14,0,1.0092051660000152
809,1.0,16,0,1.0104004869999983
810,1.0,16,0,1.0116436890000102
811,1.0,14,0,1.013349470999998
812,0.0,7,1,1.0144893740000214
813,1.0,16,0,1.015762274000025
814,1.0,14,0,1.0169301900000107
815,1.0,14,0,1.0181601410000098
816,1.0,14,0,1.0193185420000077
817,1.0,14,0,1.0205451730000163
818,0.0,16,1,1.0218426720000195
819,1.0,14,0,1.0230583430000024
820,1.0,14,0,1.0241997730000207
821,1.0,14,0,1.0253462230000139
822,1.0,14,0,1.0265474220000215
823,1.0,14,0,1.027675409000011
824,1.0,14,0,1.0287894250000136
825,1.0,17,1,1.0300326859999984
826,0.0,12,1,1.031205999000008
827,1.0,14,0,1.0323088940000105
