idx,steps,failure
1267,18,True
1268,14,False
1269,10,False
1270,13,False
1271,17,False
1272,14,False
1273,22,True
1274,14,True
1275,20,True
1276,7,False
1277,200,True
1278,200,True
1279,13,False
1280,17,True
1281,21,True
1282,16,False
1283,200,True
1284,18,True
1285,15,False
1286,15,False
1287,10,False
1288,16,False
1289,11,False
1290,9,False
1291,16,False
1292,15,False
1293,19,False
1294,14,False
1295,14,False
1296,10,False
1297,13,False
1298,14,False
1299,14,False
1300,200,True
1301,17,True
1302,13,False
1303,18,True
1304,12,False
1305,14,False
1306,15,False
1307,21,True
1308,200,True
1309,25,True
1310,200,True
1311,17,False
1312,200,True
1313,200,True
1314,14,False
1315,16,False
1316,15,False
1317,11,False
1318,200,True
1319,12,False
1320,13,False
1321,21,True
1322,14,True
1323,11,False
1324,200,True
1325,200,True
1326,200,True
1327,9,False
1328,18,True
1329,15,False
1330,15,False
1331,12,False
1332,15,True
1333,200,True
1334,200,True
1335,16,False
1336,14,False
1337,13,False
1338,17,False
1339,13,False
1340,200,True
1341,17,False
1342,21,True
1343,15,False
1344,200,True
1345,200,True
1346,200,True
1347,13,False
1348,200,True
1349,12,False
1350,17,False
1351,23,True
1352,200,True
1353,12,True
1354,12,False
1355,16,True
1356,14,False
1357,12,False
1358,16,False
1359,15,True
1360,18,False
1361,11,True
1362,14,False
1363,13,False
1364,10,False
1365,16,False
1366,200,True
1367,200,True
1368,200,True
1369,200,True
1370,13,False
1371,17,False
1372,13,False
1373,200,True
1374,11,True
1375,15,True
1376,12,False
1377,12,False
1378,12,False
1379,200,True
1380,13,True
1381,14,True
1382,6,False
1383,20,False
1384,13,False
1385,22,True
1386,16,False
1387,9,False
1388,13,False
1389,20,False
1390,10,False
1391,200,True
1392,12,True
1393,17,False
1394,200,True
1395,14,False
1396,10,False
1397,13,False
1398,16,True
1399,18,False
1400,14,True
1401,16,False
1402,8,False
1403,14,True
1404,13,False
1405,16,False
1406,200,True
1407,22,True
1408,15,False
1409,14,False
1410,200,True
1411,200,True
1412,12,False
1413,21,True
1414,12,False
1415,200,True
1416,200,True
1417,16,False
1418,11,False
1419,14,False
1420,200,True
1421,12,False
1422,200,True
1423,17,False
1424,14,False
1425,17,False
1426,6,False
1427,200,True
1428,20,True
1429,12,False
1430,14,False
1431,12,False
1432,19,False
1433,26,True
1434,22,True
1435,17,False
1436,19,False
1437,16,False
1438,16,False
1439,10,False
1440,18,False
1441,11,False
1442,20,False
1443,14,False
1444,200,True
1445,13,False
1446,11,True
1447,21,True
1448,11,False
1449,15,True
1450,15,False
1451,200,True
1452,15,True
1453,12,False
1454,20,False
1455,12,False
1456,17,False
1457,12,False
1458,13,False
1459,200,True
1460,10,False
1461,13,False
1462,14,False
1463,13,False
1464,200,True
1465,11,False
1466,200,True
1467,17,False
1468,200,True
1469,12,False
1470,15,False
1471,200,True
1472,11,False
1473,10,False
1474,13,False
1475,200,True
1476,9,False
1477,15,False
1478,18,False
1479,11,False
1480,14,True
1481,15,False
1482,9,False
1483,15,False
1484,14,False
1485,13,True
1486,14,False
1487,15,True
1488,14,False
1489,16,False
1490,22,True
1491,14,False
1492,9,False
1493,16,False
1494,200,True
1495,200,True
1496,14,False
1497,12,False
1498,9,False
1499,200,True
